

 AStar finished. Time of algorithm: 13.514937 seconds.

Distance 958815.812168 meters.

The number of nodes visited is 6649 .

Node id:  966970255 | Distance:  924016.87  
Node id:  965813626 | Distance:  923968.24  
Node id:  248972868 | Distance:  923932.20  
Node id:  965813587 | Distance:  923878.35  
Node id:  965813659 | Distance:  923838.31  
Node id:  965813541 | Distance:  923805.72  
Node id:  965813568 | Distance:  923716.80  
Node id:  248972869 | Distance:  923711.01  
Node id:  965813565 | Distance:  923677.96  
Node id:  965813615 | Distance:  923545.97  
Node id:  965813559 | Distance:  923380.06  
Node id:  965813555 | Distance:  923337.20  
Node id:  965813655 | Distance:  923301.35  
Node id:  965813579 | Distance:  923189.22  
Node id:  965813560 | Distance:  923169.69  
Node id:  965813552 | Distance:  923128.06  
Node id:  965813543 | Distance:  923082.44  
Node id:  965813634 | Distance:  923040.22  
Node id:  965813638 | Distance:  922993.36  
Node id:  965813553 | Distance:  922964.49  
Node id:  965813631 | Distance:  922916.37  
Node id:  965813632 | Distance:  922895.73  
Node id:  248972882 | Distance:  922878.87  
Node id:  248972883 | Distance:  922855.39  
Node id:  248972884 | Distance:  922843.07  
Node id:  248972885 | Distance:  922818.72  
Node id:  965813612 | Distance:  922795.37  
Node id:  965813630 | Distance:  922698.57  
Node id:  965813540 | Distance:  922654.61  
Node id:  965813660 | Distance:  922621.02  
Node id:  524609489 | Distance:  922549.61  
Node id:  965813639 | Distance:  922469.17  
Node id:  965813558 | Distance:  922321.86  
Node id: 1226835750 | Distance:  922280.84  
Node id:  524609490 | Distance:  922249.57  
Node id:  965813573 | Distance:  922237.42  
Node id:  965813621 | Distance:  922224.51  
Node id:  965813569 | Distance:  922215.99  
Node id:  562825386 | Distance:  922208.65  
Node id: 1226835965 | Distance:  922172.92  
Node id:  562825388 | Distance:  922067.23  
Node id:  562825390 | Distance:  921899.56  
Node id:  562825392 | Distance:  921585.97  
Node id:  562825393 | Distance:  921058.30  
Node id:  562825395 | Distance:  920999.19  
Node id:  562825397 | Distance:  920936.71  
Node id:  562825399 | Distance:  920824.65  
Node id:  562825400 | Distance:  920493.69  
Node id:  562825401 | Distance:  920380.00  
Node id:  562825403 | Distance:  920301.20  
Node id: 1254086117 | Distance:  920045.72  
Node id:  562825406 | Distance:  919781.68  
Node id: 1254086144 | Distance:  919485.92  
Node id:  562825407 | Distance:  919195.36  
Node id:  562825409 | Distance:  919078.64  
Node id:  562825410 | Distance:  918948.31  
Node id: 1254086128 | Distance:  918883.29  
Node id:  562825412 | Distance:  918827.70  
Node id: 1254086135 | Distance:  918800.02  
Node id: 1254086125 | Distance:  918770.80  
Node id:  562825413 | Distance:  918747.51  
Node id:  562825414 | Distance:  918713.14  
Node id:  562825416 | Distance:  918654.63  
Node id:  562825418 | Distance:  918591.22  
Node id: 1254086127 | Distance:  918562.87  
Node id: 1254086137 | Distance:  918543.41  
Node id:  562825421 | Distance:  918517.54  
Node id: 1254086131 | Distance:  918487.81  
Node id:  562825422 | Distance:  918438.37  
Node id: 1254086136 | Distance:  918407.05  
Node id:  562825423 | Distance:  918376.59  
Node id: 1254086123 | Distance:  918337.81  
Node id: 1254086120 | Distance:  918294.36  
Node id: 1254086132 | Distance:  918200.29  
Node id:  562825426 | Distance:  918018.55  
Node id:  562825428 | Distance:  917340.44  
Node id: 1254086141 | Distance:  917269.51  
Node id: 1254086143 | Distance:  917238.80  
Node id:  562825430 | Distance:  917203.37  
Node id:  249560676 | Distance:  917118.21  
Node id: 1254086134 | Distance:  917105.94  
Node id:  249560675 | Distance:  917099.12  
Node id:  249560674 | Distance:  917075.61  
Node id:  249561012 | Distance:  917057.25  
Node id:  249561013 | Distance:  917042.03  
Node id:  249560556 | Distance:  917010.87  
Node id:  249560531 | Distance:  916954.50  
Node id:  243997626 | Distance:  916648.48  
Node id:  243997627 | Distance:  916536.56  
Node id:  243997628 | Distance:  916409.48  
Node id:  243997629 | Distance:  916279.16  
Node id:  243997630 | Distance:  916144.13  
Node id:  243997631 | Distance:  916015.49  
Node id:  243997632 | Distance:  915878.63  
Node id:  243997633 | Distance:  915465.01  
Node id:  243997634 | Distance:  915232.64  
Node id:  243997635 | Distance:  915015.34  
Node id:  243997636 | Distance:  914765.22  
Node id:  243997637 | Distance:  914524.06  
Node id: 1254086139 | Distance:  913945.21  
Node id:  982827373 | Distance:  913889.55  
Node id:  404289413 | Distance:  913744.27  
Node id:  404289418 | Distance:  913413.80  
Node id:  404289420 | Distance:  913114.86  
Node id:  404289421 | Distance:  912812.00  
Node id:  404289422 | Distance:  912543.31  
Node id:  404289424 | Distance:  912194.16  
Node id:  404289425 | Distance:  911841.69  
Node id:  404289427 | Distance:  911485.24  
Node id:  404289429 | Distance:  911205.87  
Node id: 1254086142 | Distance:  911141.15  
Node id: 1254086133 | Distance:  911103.76  
Node id: 1254086129 | Distance:  911029.61  
Node id:  404289430 | Distance:  910848.53  
Node id:  404289432 | Distance:  910491.50  
Node id:  404289433 | Distance:  910174.62  
Node id:  404289435 | Distance:  909819.72  
Node id:  404289437 | Distance:  909504.82  
Node id:  404289438 | Distance:  909189.53  
Node id:  404289441 | Distance:  908949.52  
Node id:  404289442 | Distance:  908441.34  
Node id:  404289445 | Distance:  908124.42  
Node id:  404289446 | Distance:  907767.67  
